type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information,source_file,type of bacteria,concentration of bacteria
Copper(II) phthalocyanine,Ceriporiopsis subvermispora,50 mg L−1,not specified,shaking,30 °C,12 h,4.5,60%,Decolorization was slower compared to RBBR.,Induction+of+ligninolytic+enzyme+production+by+Dichomitus+squalens+on+various+types+of+immobilization+support_.txt,,
Remazol Brilliant Blue R,Ceriporiopsis subvermispora,50 mg L−1,not specified,not specified,room temperature,14 h,not specified,60%,Extent of decolorization after 14 h was the same for both dyes.,Induction+of+ligninolytic+enzyme+production+by+Dichomitus+squalens+on+various+types+of+immobilization+support_.txt,,
Copper(II) phthalocyanine,Ceriporiopsis subvermispora,50 mg L−1,not specified,not specified,room temperature,14 h,not specified,60%,Extent of decolorization after 14 h was the same for both dyes.,Induction+of+ligninolytic+enzyme+production+by+Dichomitus+squalens+on+various+types+of+immobilization+support_.txt,,
Reactive Red 198,Penicillium simplicissimum,not specified,not specified,not specified,not specified,1 day,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Red 198,Penicillium simplicissimum,not specified,not specified,not specified,not specified,2 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Red 198,Penicillium simplicissimum,not specified,not specified,not specified,not specified,5 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Red 198,Penicillium simplicissimum,not specified,not specified,not specified,not specified,7 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Red 198,Penicillium simplicissimum,not specified,not specified,not specified,not specified,14 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Blue 21,Penicillium simplicissimum,not specified,not specified,not specified,not specified,1 day,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Blue 21,Penicillium simplicissimum,not specified,not specified,not specified,not specified,2 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Blue 21,Penicillium simplicissimum,not specified,not specified,not specified,not specified,5 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Blue 21,Penicillium simplicissimum,not specified,not specified,not specified,not specified,7 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Blue 21,Penicillium simplicissimum,not specified,not specified,not specified,not specified,14 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Blue 214,Penicillium simplicissimum,not specified,not specified,not specified,not specified,1 day,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Blue 214,Penicillium simplicissimum,not specified,not specified,not specified,not specified,2 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Blue 214,Penicillium simplicissimum,not specified,not specified,not specified,not specified,5 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Blue 214,Penicillium simplicissimum,not specified,not specified,not specified,not specified,7 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Reactive Blue 214,Penicillium simplicissimum,not specified,not specified,not specified,not specified,14 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Mixture,Penicillium simplicissimum,not specified,not specified,not specified,not specified,1 day,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Mixture,Penicillium simplicissimum,not specified,not specified,not specified,not specified,2 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Mixture,Penicillium simplicissimum,not specified,not specified,not specified,not specified,5 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Mixture,Penicillium simplicissimum,not specified,not specified,not specified,not specified,7 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
Mixture,Penicillium simplicissimum,not specified,not specified,not specified,not specified,14 days,not specified,not specified,Visual observation of decolorization,Synthetic+Dyes+and+their+Environmental+Impact_.txt,,
,Trametes pubescens MB89,,0.87 ± 0.28 g/L,shaking,28°C,15 days,5.5,,Full-strength distillery wastewater,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
,Trametes pubescens MB89,,1.27 ± 0.31 g/L,shaking,28°C,15 days,5.0,,Low-strength brandy distillery wastewater,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28°C,14 days,5.0,,Various wastewaters from winery and distilleries,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28°C,20 days,,8419 units/L,"2,5-Xylidine added prior to inoculation",Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28°C,20 days,,2944 units/L,"2,5-Xylidine added after four days",Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28°C,20 days,,6701 units/L,Ethanol added prior to inoculation,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28°C,20 days,,5492 units/L,Copper added prior to inoculation,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28°C,20 days,,1153 units/L,4-Methylcatechol added after four days,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28°C,20 days,,1636 units/L,n-Hydroxyphthalimide added after four days,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28°C,20 days,,2305 units/L,Control with no inducers added,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28°C,20 days,,9999 units/L,"2,5-Xylidine added multiple times from inoculation",Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28°C,20 days,,13294 units/L,"2,5-Xylidine added three times at 48-hour intervals",Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt,,
lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,not specified,stirring at 90 rpm,30 °C,2.0 h,4.0,57.5%,1st replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt,,
lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,not specified,stirring at 90 rpm,30 °C,2.0 h,5.3,55.7%,2nd replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt,,
lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,not specified,stirring at 90 rpm,30 °C,4.0 h,4.0,66.7%,1st replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt,,
lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,not specified,stirring at 90 rpm,30 °C,4.0 h,5.3,68.5%,2nd replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt,,
lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,not specified,stirring at 90 rpm,30 °C,2.0 h,4.0,0.0%,1st replicate,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt,,
lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,not specified,stirring at 90 rpm,30 °C,4.0 h,4.0,10.1%,7th run,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt,,
lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,not specified,stirring at 90 rpm,30 °C,4.0 h,5.3,44.7%,"8th run, 1st replicate",Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt,,
lignin,Bjerkandera sp.,0.005 g in 100 mM NaOH,not specified,stirring at 90 rpm,30 °C,4.0 h,5.3,50.6%,"8th run, 2nd replicate",Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta_.txt,,
Reactive blue 19,Trametes versicolor,0.036 mM,,Packed bed reactor,23±C,4 months,5,97.5% enzymatic degradation,Ethanolamine treatment reduced dye adsorption by 40%,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt,,
Dispersed blue 3,Trametes versicolor,0.072 mM,,Packed bed reactor,23±C,,5,,,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt,,
Acid blue 74,Trametes versicolor,0.036 mM,,Packed bed reactor,23±C,,5,,,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt,,
Acid red 27,Trametes versicolor,0.036 mM,,Packed bed reactor,23±C,,5,,,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt,,
Reactive black 5,Trametes versicolor,0.036 mM,,Packed bed reactor,23±C,,5,,,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt,,
Reactive blue 19,Trametes versicolor,0.036 mM,,Re-circulation,22±1±C,,5,Inhibition by Merpol,Dye-Merpol complex observed,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt,,
ABTS,Trametes versicolor,0.5 mM,0.274 nM,,22±1±C,,5,,Kinetics followed Michaelis-Menten,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt,,
Remazol Brilliant Blue R,Bjerkandera sp. strain B33/3,0.05 mM,,shaking,30 °C,,5.0,high decolorization activity,Spectrophotometric assay; absorbance measured at 595 nm.,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt,,
"2,6-dimethoxyphenol (DMP)",Bjerkandera sp. strain B33/3,1 mM,,shaking,30 °C,,3.0,oxidation detected,Absorbance measured at 469 nm.,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt,,
"2,6-dimethoxyphenol (DMP)",Bjerkandera sp. strain B33/3,1 mM,,shaking,30 °C,,5.0,oxidation detected,Absorbance measured at 469 nm.,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt,,
veratryl alcohol (VA),Bjerkandera sp. strain B33/3,4.0 mM,,shaking,30 °C,,3.0,oxidation detected,Absorbance measured at 310 nm.,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt,,
manganese(II),Bjerkandera sp. strain B33/3,0.1 mM,,shaking,30 °C,,5.0,activity detected,Absorbance measured at 238 nm.,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt,,
ABTS,Bjerkandera sp. strain B33/3,0.5 mM,,shaking,25 °C,,5.0,activity detected,Absorbance measured at 420 nm.,Transformation+of+industrial+dyes+by+manganese+peroxidases+from+Bjerkandera+adusta+and+Pleurotus+eryngii+in+a+manganese-independent+reaction_.txt,,
Crystal Violet,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,24 h,not specified,91%,Initial concentration decolorization was rapid,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
Methyl Violet,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,24 h,not specified,94%,Initial concentration decolorization was rapid,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
Malachite Green,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,24 h,not specified,96%,Initial concentration decolorization was rapid,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
Cotton Blue,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,24 h,not specified,93%,Initial concentration decolorization was rapid,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
Crystal Violet,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,not specified,72%,DE declined with increasing initial dye concentration,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
Methyl Violet,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,not specified,81%,DE declined with increasing initial dye concentration,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
Malachite Green,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,not specified,90%,DE declined with increasing initial dye concentration,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
Cotton Blue,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,not specified,70%,DE declined with increasing initial dye concentration,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
Crystal Violet,Bjerkandera adusta SWUSI4,200 mg L-1,2 g,static,30 °C,14 days,not specified,27%,Static condition less effective than shaking,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
Methyl Violet,Bjerkandera adusta SWUSI4,200 mg L-1,2 g,static,30 °C,14 days,not specified,47%,Static condition less effective than shaking,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
Malachite Green,Bjerkandera adusta SWUSI4,200 mg L-1,2 g,static,30 °C,14 days,not specified,58%,Static condition less effective than shaking,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
Cotton Blue,Bjerkandera adusta SWUSI4,200 mg L-1,2 g,static,30 °C,14 days,not specified,not specified,Static condition less effective than shaking,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,,
azure B,Trametes versicolor,0.1 g/l,not specified,shaking,28 °C,2 weeks,not specified,complete decolorization,"BBEL0901, BBEL0902, BBEL0958, BBEL0973 decolorized azure B",Fed-batch+decolourisation+of+poly+R+478+by+Trametes+versicolor_.txt,,
Poly R4478,Trametes versicolor,0.1 g/l,not specified,shaking,28 °C,2 weeks,not specified,complete decolorization,"BBEL0901, BBEL0902, BBEL0958, BBEL0973 decolorized Poly R4478",Fed-batch+decolourisation+of+poly+R+478+by+Trametes+versicolor_.txt,,
guaiacol,Trametes versicolor,0.1 g/l,not specified,shaking,28 °C,2 weeks,not specified,not specified,higher laccase activity correlated with guaiacol oxidation,Fed-batch+decolourisation+of+poly+R+478+by+Trametes+versicolor_.txt,,
not applicable,Trametes versicolor BBEL0970,not applicable,not specified,shaking,28 °C,24 days,not applicable,not applicable,maximum laccase activity reached 10.3 U/ml with barley straw,Fed-batch+decolourisation+of+poly+R+478+by+Trametes+versicolor_.txt,,
